wgEncodeHaibTfbsPanc1Pol24h8V0416101AlnRep2	23105834	0.23	0.25	0.19	5707762	122	1.15
wgEncodeHaibTfbsPanc1Sin3ak20V0416101AlnRep1	6590602	0.35	0.3	0.19	1969688	124	1.29
wgEncodeHaibTfbsPanc1Sin3ak20V0416101AlnRep2	16803047	0.25	0.23	0.17	3808823	120	1.57
wgEncodeHaibTfbsPfsk1NrsfPcr2xAlnRep2	18129533	0.14	0.14	0.12	2529769	103	0.93
wgEncodeHaibTfbsPfsk1NrsfV0416101AlnRep1	18722037	0.19	0.26	0.21	4946492	136	1.63
wgEncodeHaibTfbsPfsk1NrsfV0416101AlnRep2	12856532	0.25	0.21	0.15	2651336	135	1.57
wgEncodeHaibTfbsPfsk1Pol24h8V0416101AlnRep1	1854774	0.03	0.07	0.07	131606	108	0.59
wgEncodeHaibTfbsPfsk1Pol24h8V0416101AlnRep2	2684895	0.03	0.14	0.14	377741	115	0.71
wgEncodeHaibTfbsPfsk1Sin3ak20V0416101AlnRep1	8299736	0.26	0.31	0.23	2599871	131	2.29
wgEncodeHaibTfbsPfsk1Sin3ak20V0416101AlnRep2	20932494	0.16	0.21	0.18	4379849	108	1.32
wgEncodeHaibTfbsPfsk1Taf1V0416101AlnRep2	39469766	0.06	0.08	0.07	3022452	105	0.97
wgEncodeHaibTfbsSknmcPol24h8V0416101AlnRep1	2360351	0.12	0.31	0.27	737914	120	2.03
wgEncodeHaibTfbsSknmcPol24h8V0416101AlnRep2V2	36482235	0.15	0.11	0.09	3893495	120	1.16
wgEncodeHaibTfbsSknshNrsfV0416101AlnRep1	15664435	0.24	0.24	0.18	3705317	113	1.49
wgEncodeHaibTfbsSknshPol24h8V0416101AlnRep2	36017415	0.1	0.19	0.17	6801472	115	1.25
wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1	10300083	0.16	0.26	0.22	2634559	105	2.13
wgEncodeHaibTfbsSknshraP300V0416102AlnRep1	16221558	0.21	0.31	0.24	5023928	108	1.33
wgEncodeHaibTfbsSknshraP300V0416102AlnRep2	11548177	0.15	0.34	0.29	3941467	116	1.46
wgEncodeHaibTfbsSknshraRad21V0416102AlnRep1	15988520	0.34	0.42	0.27	6680823	118	2.1
wgEncodeHaibTfbsSknshraRad21V0416102AlnRep2	19460614	0.26	0.33	0.24	6443649	100	1.63
wgEncodeHaibTfbsSknshraUsf1sc8983V0416102AlnRep1	10893889	0.43	0.32	0.19	3517218	113	1.78
wgEncodeHaibTfbsSknshraUsf1sc8983V0416102AlnRep2	6943552	0.32	0.29	0.2	2031069	124	1.95
wgEncodeHaibTfbsSknshraYy1sc281V0416102AlnRep1	17942699	0.1	0.18	0.16	3221328	122	1.31
wgEncodeHaibTfbsSknshraYy1sc281V0416102AlnRep2	24468007	0.13	0.19	0.17	4722866	119	1.35
wgEncodeHaibTfbsSknshSin3ak20V0416101AlnRep1	19446310	0.42	0.2	0.12	3962008	111	1.1
wgEncodeHaibTfbsSknshSin3ak20V0416101AlnRep2V2	24983876	0.17	0.2	0.17	4987636	112	1.15
wgEncodeHaibTfbsSknshTaf1V0416101AlnRep1	24234036	0.29	0.21	0.15	5032195	109	1.09
wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dm002p1hAlnRep1	19949818	0.1	0.14	0.13	2850147	152	1.82
wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dm002p1hAlnRep2	16930595	0.22	0.26	0.2	4450901	106	1.87
wgEncodeHaibTfbsT47dEraaV0416102Bpa1hAlnRep1	16817935	0.15	0.21	0.18	3573533	102	1.51
wgEncodeHaibTfbsT47dEraaV0416102Bpa1hAlnRep2	23274868	0.12	0.16	0.14	3718217	120	1.29
wgEncodeHaibTfbsT47dEralphaaPcr2xGen1hAlnRep1	29688107	0.21	0.17	0.14	5066214	111	0.89
wgEncodeHaibTfbsT47dEralphaaPcr2xGen1hAlnRep2	16440583	0.16	0.22	0.19	3616383	118	1.49
wgEncodeHaibTfbsT47dEralphaaV0416102Dm002p1hAlnRep1	13911853	0.07	0.11	0.1	1554239	110	0.73
wgEncodeHaibTfbsT47dEralphaaV0416102Est10nm1hAlnRep1	24460935	0.18	0.19	0.15	4571941	111	1.24
wgEncodeHaibTfbsT47dEralphaaV0416102Est10nm1hAlnRep2	16440003	0.16	0.22	0.19	3616251	118	1.49
wgEncodeHaibTfbsT47dFoxa1sc6553V0416102Dm002p1hAlnRep1	11914210	0.12	0.24	0.21	2917824	127	1.7
wgEncodeHaibTfbsT47dFoxa1sc6553V0416102Dm002p1hAlnRep2	17672541	0.08	0.29	0.26	5061621	101	1.56
wgEncodeHaibTfbsT47dGata3sc268V0416102Dm002p1hAlnRep1	20746549	0.06	0.18	0.17	3660821	115	1.35
wgEncodeHaibTfbsT47dGata3sc268V0416102Dm002p1hAlnRep2	21947965	0.08	0.24	0.22	5353362	117	1.48
wgEncodeHaibTfbsT47dP300V0416102Dm002p1hAlnRep1	15072770	0.05	0.14	0.13	2089382	133	1.2
wgEncodeHaibTfbsT47dP300V0416102Dm002p1hAlnRep2	17533998	0.08	0.19	0.18	3391377	109	1.09
wgEncodeHaibTfbsU87NrsfPcr2xAlnRep2	22195422	0.11	0.15	0.13	3235800	109	0.8
wgEncodeHaibTfbsU87NrsfPcr2xAlnRep2V2	19201736	0.09	0.13	0.12	2523086	109	1.22
wgEncodeHaibTfbsU87Pol24h8V0416101AlnRep1	12080687	0.06	0.39	0.37	4749818	161	1.47
wgEncodeHaibTfbsU87Pol24h8V0416101AlnRep1V2	14228104	0.06	0.34	0.32	4902851	161	1.43
wgEncodeHaibTfbsU87Pol24h8V0416101AlnRep2	24691484	0.12	0.26	0.23	6525880	121	1.23
wgEncodeHaibTfbsU87Pol24h8V0416101AlnRep2V2	30075919	0.13	0.2	0.18	6070225	120	1.15
